曲名,リリース日,初収録アルバム名
マイルストーンの種,2014/01/04,閃光ライオット
丘と小さなパラダイム,2017/01/11,Nice to Meet You??
Bitter,2017/01/11,Nice to Meet You??
アウトサイダー,2017/01/11,Nice to Meet You??
regret,2017/01/11,Nice to Meet You??
またね,2017/01/11,Nice to Meet You??
恋って,2017/08/02,ADORE
それなりの生活,2017/08/02,ADORE
want,2017/08/02,ADORE
キラキラ,2017/08/02,ADORE
始まりの歌,2017/08/02,ADORE
大人ごっこ,2018/03/14,緑黄色社会
Re,2018/03/14,緑黄色社会
君が望む世界,2018/03/14,緑黄色社会
真夜中ドライブ,2018/03/14,緑黄色社会
Alice,2018/03/14,緑黄色社会
リトルシンガー,2018/08/04,溢れた水の行方
Never Come Back,2018/11/07,溢れた水の行方
サボテン,2018/11/07,溢れた水の行方
視線,2018/11/07,溢れた水の行方
あのころ見た光,2018/11/07,溢れた水の行方
ひとりごと,2019/05/29,幸せ-EP-
幸せ,2019/05/29,幸せ-EP-
逆転,2019/05/29,幸せ-EP-
にちようび,2019/05/29,幸せ-EP-
想い人,2019/08/30,SINGALONG
Alright!!,2019/11/06,
sabotage,2019/11/06,SINGALONG
Shout Baby,2020/02/19,SINGALONG
SINGALONG,2020/04/22,SINGALONG
inori,2020/04/22,SINGALONG
スカーレット,2020/04/22,SINGALONG
愛のかたち,2020/04/22,SINGALONG
Brand New World,2020/04/22,SINGALONG
一歩,2020/04/22,SINGALONG
冬の朝,2020/04/22,SINGALONG
Mela!,2020/04/22,SINGALONG
夏を生きる,2020/07/31,(SINGALONG)
結証,2021/02/03,Actor
LADYBUG,2021/02/03,
Copy,2021/02/03,
たとえたとえ,2021/03/19,Actor
ずっとずっとずっと,2021/06/04,Actor
アーユーレディー,2021/07/03,
これからのこと、それからのこと,2021/08/25,Actor
LITMUS,2021/08/25,Actor
安心してね,2022/01/26,Actor
スクリーンと横顔,2022/01/26,Actor
揺れる,2022/01/26,Actor
Actor,2022/01/26,Actor
アラモードにワルツ,2022/01/26,Actor
merry-go-round,2022/01/26,Actor
S.T.U.D,2022/01/26,Actor
Landscape,2022/01/26,Actor
キャラクター,2022/01/26,Actor
時のいたずら,2022/04/20,
陽はまた昇るから,2022/04/20,pink blue
ブレス,2022/07/04,
ミチヲユケ,2022/11/09,pink blue
Don!!,2022/11/09,pink blue
White Rabbit,2023/03/22,pink blue
ジブンセイフク,2023/05/17,pink blue
あうん,2023/05/17,pink blue
Slow dance,2023/05/17,pink blue
うそつき,2023/05/17,pink blue
湿気っている,2023/05/17,pink blue
Starry Drama,2023/05/17,pink blue
ピンクブルー,2023/05/17,pink blue
マジックアワー,2023/08/07,Channel U
サマータイムシンデレラ,2023/08/07,Channel U
夢と悪魔とファンタジー,2023/12/06,
花になって,2023/12/06,Channel U
月とあたしと冷蔵庫,2024/02/14,いきものがかりmeets
Tap Tap Dance,2024/03/06,
Party!!,2024/03/06,Channel U
ナイスアイディア!,2024/03/19,Channel U
夜祭音頭,2024/05/21,
恥ずかしいか青春は,2024/07/09,Channel U
言えない,2024/07/30,Channel U
僕らはいきものだから,2024/09/20,Channel U
馬鹿の一つ覚え,2024/11/13,Channel U
Monkey Dance,2025/02/19,Channel U
オーロラを探しに,2025/02/19,Channel U
U,2025/02/19,Channel U
コーヒーとましゅまろ,2025/02/19,Channel U
Each Ring,2025/02/19,Channel U
∩,2025/02/19,Channel U
PLAYER 1,2025/02/19,Channel U
illusion,2025/07/04,
つづく,2025/07/18,
My Answer,2025/11/12,
さもなくば誰がやる,2025/11/12,
風に乗る,2026/03/18,
étoile,2026/03/18,
章,2026/04/09,
